
Project: 160322-K1-2 (1)
Owner: 
Site: Site of Interest 1

Sample: Sample 1
Type: Default
ID: 

Processing option : All elements analysed (Normalised)

All results in atomic%

X and Y are stage positions

Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ti	Ta	
	
Spectrum 1 {1}	Yes	-43.811	-40.975	47.60	51.82	2.33	-1.75	
Spectrum 1 {2}	Yes	-39.308	-40.975	51.66	46.76	1.63	-0.05	
Spectrum 1 {3}	Yes	-34.808	-40.975	44.69	54.14	2.06	-0.89	
Spectrum 1 {4}	Yes	-30.310	-40.975	36.39	61.80	0.76	1.06	
Spectrum 1 {5}	Yes	-25.808	-40.975	2.26	12.29	0.04	85.41	
Spectrum 1 {6}	Yes	-21.309	-40.975	1.60	12.02	0.15	86.23	
Spectrum 1 {7}	Yes	-16.808	-40.975	1.93	12.28	0.27	85.52	
Spectrum 1 {8}	Yes	-12.310	-40.975	1.45	11.21	0.04	87.30	
Spectrum 1 {9}	Yes	-7.808	-40.975	1.50	11.32	0.07	87.12	
Spectrum 1 {10}	Yes	-3.308	-40.975	3.29	13.20	-0.04	83.56	
Spectrum 1 {11}	Yes	1.181	-40.975	1.09	11.89	0.41	86.61	
Spectrum 1 {12}	Yes	5.682	-40.975	1.60	12.25	1.22	84.93	
Spectrum 1 {13}	Yes	10.182	-40.975	1.99	12.34	4.35	81.33	
Spectrum 1 {14}	Yes	14.683	-40.975	2.08	11.91	9.00	77.01	
Spectrum 1 {15}	Yes	19.180	-40.975	1.06	13.66	14.81	70.47	
Spectrum 1 {16}	Yes	23.681	-40.975	2.58	13.06	19.77	64.59	
Spectrum 1 {17}	Yes	28.181	-40.975	1.81	14.62	22.62	60.95	
Spectrum 1 {18}	Yes	32.679	-40.975	49.46	47.10	2.58	0.86	
Spectrum 1 {19}	Yes	37.180	-40.975	44.86	56.36	1.25	-2.47	
Spectrum 1 {20}	Yes	41.683	-40.975	46.38	52.23	1.77	-0.38	
Spectrum 1 {21}	Yes	46.182	-40.975	105.06	17.88	-17.05	-5.90	
Spectrum 1 {22}	Yes	-43.811	-36.470	50.40	45.94	1.69	1.97	
Spectrum 1 {23}	Yes	-39.310	-36.470	47.69	49.91	1.94	0.46	
Spectrum 1 {24}	Yes	-34.808	-36.470	4.18	72.73	0.16	22.93	
Spectrum 1 {25}	Yes	-30.307	-36.470	1.66	9.55	0.26	88.53	
Spectrum 1 {26}	Yes	-25.809	-36.470	2.04	13.26	0.20	84.51	
Spectrum 1 {27}	Yes	-21.308	-36.470	1.66	12.69	-0.04	85.69	
Spectrum 1 {28}	Yes	-16.807	-36.470	2.59	11.12	0.01	86.29	
Spectrum 1 {29}	Yes	-12.307	-36.470	1.74	11.53	0.20	86.52	
Spectrum 1 {30}	Yes	-7.808	-36.470	0.66	11.67	0.23	87.44	
Spectrum 1 {31}	Yes	-3.309	-36.470	1.37	13.13	0.57	84.94	
Spectrum 1 {32}	Yes	1.181	-36.470	2.50	12.76	1.14	83.60	
Spectrum 1 {33}	Yes	5.683	-36.470	2.20	11.60	3.81	82.39	
Spectrum 1 {34}	Yes	10.183	-36.470	2.43	13.26	8.37	75.94	
Spectrum 1 {35}	Yes	14.682	-36.470	1.91	11.17	14.14	72.77	
Spectrum 1 {36}	Yes	19.180	-36.470	2.11	13.83	18.60	65.45	
Spectrum 1 {37}	Yes	23.681	-36.470	0.75	14.23	24.28	60.75	
Spectrum 1 {38}	Yes	28.181	-36.470	1.89	14.41	28.98	54.72	
Spectrum 1 {39}	Yes	32.680	-36.470	0.90	15.10	32.38	51.62	
Spectrum 1 {40}	Yes	37.180	-36.470	40.05	62.17	2.15	-4.37	
Spectrum 1 {41}	Yes	41.681	-36.470	27.69	69.73	-0.30	2.88	
Spectrum 1 {42}	Yes	46.180	-36.470	42.38	55.80	0.64	1.18	
Spectrum 1 {43}	Yes	-43.812	-31.964	39.10	57.14	2.04	1.72	
Spectrum 1 {44}	Yes	-39.307	-31.964	4.10	14.07	0.06	81.77	
Spectrum 1 {45}	Yes	-34.808	-31.964	2.28	11.88	0.15	85.69	
Spectrum 1 {46}	Yes	-30.307	-31.964	0.74	11.42	0.05	87.79	
Spectrum 1 {47}	Yes	-25.808	-31.964	0.19	11.68	0.15	87.98	
Spectrum 1 {48}	Yes	-21.307	-31.964	1.38	13.72	0.23	84.67	
Spectrum 1 {49}	Yes	-16.808	-31.964	2.87	11.16	0.14	85.83	
Spectrum 1 {50}	Yes	-12.310	-31.964	1.50	12.33	0.20	85.98	
Spectrum 1 {51}	Yes	-7.808	-31.964	0.91	13.60	0.47	85.02	
Spectrum 1 {52}	Yes	-3.308	-31.964	1.95	12.33	0.86	84.86	
Spectrum 1 {53}	Yes	1.180	-31.964	1.36	12.92	3.55	82.17	
Spectrum 1 {54}	Yes	5.680	-31.964	0.88	13.27	8.32	77.54	
Spectrum 1 {55}	Yes	10.182	-31.964	0.16	12.75	13.69	73.41	
