Index,V,Mn,Co,Ni,Ho
1,25.4,15.7,21.2,19.6,18
2,20.6,16.6,20.1,21.3,21.3
3,17.9,16.4,21.7,20.3,23.8
4,13.6,18.4,20.4,22.5,25.1
5,8.2,19.6,20.3,23.7,28.2
6,3.8,22.1,18.4,25.5,30.2
7,1.2,21.9,17.5,27.9,31.5
8,0.9,22.4,15.3,26.8,34.6
9,1.2,21,11.7,30.8,35.4
10,1,22,10.6,27.6,38.8
11,0.5,21.6,7.5,30,40.5
12,26.2,15,23.7,18.4,16.7
13,24.1,16.2,22.9,19.6,17.2
14,19.8,17.6,21.9,21.2,19.5
15,16.2,17.1,22.7,21.4,22.6
16,12.4,18.8,20.5,23.7,24.6
17,6.9,20.8,20.9,24.8,26.7
18,2.6,23.5,19.5,25.3,29
19,1.1,23,17,27.9,30.9
20,0.9,22.2,15,29.8,32
21,0.4,21.8,12,30.4,35.4
22,0.5,21,10.2,30.2,38.1
23,1.3,20.8,8.5,30.1,39.4
24,0.5,20.2,9,29.2,41.2
25,27.1,15.5,24.1,18.6,14.7
26,25.4,16,23.4,19.5,15.7
27,23,16.8,22.9,20.3,17
28,18.8,16.6,22.3,21.6,20.6
29,15.1,17.9,22.2,22.3,22.5
30,11.2,19.6,21.1,24.5,23.5
31,6,22.1,22.3,24,25.6
32,2.2,22.8,20.9,26.3,27.9
33,1,23.5,18.5,27.6,29.5
34,0.4,21.8,16.6,30.5,30.7
35,0.8,21.1,14.1,29.9,34.1
36,0.6,20.7,11.8,31.9,35
37,0.7,21.6,8.9,32.7,36.2
38,0.2,20.7,7.5,32.4,39.2
39,0.4,20.6,7.1,30.7,41.1
40,26.2,14.8,25.4,20.1,13.5
41,24.8,15.9,25.9,19.1,14.3
42,23,16.1,25,20.6,15.4
43,19.3,18,24.5,21.9,16.4
44,17.8,17.7,23.6,21.2,19.7
45,14.6,18.8,22.6,22.3,21.8
46,10,20.2,21.9,25.5,22.4
47,5.2,22.8,22.4,25.1,24.5
48,2.3,22.7,20.5,27.2,27.3
49,1,23.4,18.9,29.3,27.4
50,0.9,22.5,17.3,30.1,29.3
51,0.6,21.9,14.2,31.8,31.5
52,0.1,21,11.5,33.3,34.1
53,0.9,21,10.3,32.1,35.7
54,0.4,20.4,9.5,32.1,37.6
55,0.2,20.8,7.8,31.7,39.5
56,0.2,20.2,6.4,33.2,40
57,27,15.5,26.9,17.8,12.9
58,25.7,15.1,26.4,19.6,13.2
59,24.2,16,25.4,19.6,14.9
